epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,3420.84,0.48487,0.99016,0.30925,0.91267,0.9975,1,0.995,0.93291,0.9975,1,0.995,0.82812,0.35693,0.90018,0.21611,0.87093,0.0006932,0.0006932,0.0006932
68,3470.82,0.47163,0.98356,0.30962,0.90744,0.9989,1,0.995,0.94605,0.9989,1,0.995,0.84157,0.36053,0.90384,0.21199,0.88024,0.0006734,0.0006734,0.0006734
69,3520.21,0.45492,0.96388,0.28777,0.90024,0.99918,1,0.995,0.94787,0.99918,1,0.995,0.84193,0.34207,0.88748,0.19175,0.87315,0.0006536,0.0006536,0.0006536
70,3569.32,0.46615,0.95659,0.29425,0.90183,0.99914,1,0.995,0.93466,0.99914,1,0.995,0.84049,0.35321,0.86557,0.19937,0.8826,0.0006338,0.0006338,0.0006338
71,3619.82,0.47287,0.96921,0.29987,0.90627,0.99903,1,0.995,0.93945,0.99903,1,0.995,0.83692,0.31753,0.93138,0.18265,0.87241,0.000614,0.000614,0.000614
72,3670.14,0.47504,0.99039,0.30364,0.91199,0.99912,1,0.995,0.94797,0.99912,1,0.995,0.85045,0.33318,0.88568,0.18853,0.87287,0.0005942,0.0005942,0.0005942
73,3716.99,0.45655,0.97278,0.28729,0.89794,0.99915,1,0.995,0.95033,0.99915,1,0.995,0.85112,0.32344,0.87939,0.19394,0.86459,0.0005744,0.0005744,0.0005744
74,3763.44,0.45337,0.93935,0.28719,0.8924,0.99912,1,0.995,0.94585,0.99912,1,0.995,0.85805,0.34219,0.87723,0.20637,0.86984,0.0005546,0.0005546,0.0005546
75,3814.07,0.44708,0.93049,0.2858,0.90619,0.99912,1,0.995,0.95156,0.99912,1,0.995,0.85088,0.32553,0.87441,0.18382,0.87211,0.0005348,0.0005348,0.0005348
76,3862.59,0.43081,0.90426,0.27411,0.88733,0.99916,1,0.995,0.95314,0.99916,1,0.995,0.85655,0.31123,0.87482,0.18094,0.85683,0.000515,0.000515,0.000515
77,3914.7,0.43615,0.9172,0.28317,0.89489,0.99916,1,0.995,0.95435,0.99916,1,0.995,0.87023,0.29957,0.8578,0.1809,0.8577,0.0004952,0.0004952,0.0004952
78,3964.12,0.43232,0.90213,0.28341,0.8939,0.99919,1,0.995,0.96134,0.99919,1,0.995,0.86658,0.28588,0.86298,0.17922,0.84261,0.0004754,0.0004754,0.0004754
79,4015.38,0.42217,0.89963,0.27706,0.88313,0.99917,1,0.995,0.95718,0.99917,1,0.995,0.85854,0.29915,0.90284,0.17021,0.85666,0.0004556,0.0004556,0.0004556
80,4066.19,0.43923,0.90222,0.27893,0.90323,0.99919,1,0.995,0.95359,0.99919,1,0.995,0.85575,0.3088,0.91944,0.17558,0.8576,0.0004358,0.0004358,0.0004358
81,4114.63,0.43709,0.93474,0.27353,0.89605,0.99916,1,0.995,0.94482,0.99916,1,0.995,0.86053,0.30773,0.91218,0.17697,0.86588,0.000416,0.000416,0.000416
82,4165.06,0.41536,0.87958,0.26824,0.88511,0.99917,1,0.995,0.95454,0.99917,1,0.995,0.87582,0.31179,0.90494,0.17545,0.8553,0.0003962,0.0003962,0.0003962
83,4215.13,0.40789,0.85777,0.26926,0.88062,0.99914,1,0.995,0.94828,0.99914,1,0.995,0.86451,0.29455,0.88569,0.17878,0.85925,0.0003764,0.0003764,0.0003764
84,4266.7,0.41761,0.89564,0.27509,0.88812,0.99921,1,0.995,0.94644,0.99921,1,0.995,0.85865,0.30975,0.87929,0.18382,0.87119,0.0003566,0.0003566,0.0003566
85,4316.75,0.42578,0.87806,0.26957,0.8877,0.99923,1,0.995,0.9545,0.99923,1,0.995,0.85727,0.30989,0.87298,0.17425,0.85553,0.0003368,0.0003368,0.0003368
86,4369.16,0.40299,0.86907,0.26039,0.88717,0.9992,1,0.995,0.94793,0.9992,1,0.995,0.87403,0.29774,0.88791,0.18038,0.85396,0.000317,0.000317,0.000317
87,4419.3,0.41023,0.85168,0.2665,0.88336,0.9992,1,0.995,0.95107,0.9992,1,0.995,0.87147,0.3122,0.88133,0.17143,0.8557,0.0002972,0.0002972,0.0002972
88,4470.53,0.42311,0.86995,0.26635,0.90235,0.9992,1,0.995,0.95115,0.9992,1,0.995,0.87298,0.28636,0.86059,0.16374,0.85141,0.0002774,0.0002774,0.0002774
89,4520.58,0.39687,0.85386,0.25339,0.88513,0.99921,1,0.995,0.95389,0.99921,1,0.995,0.86999,0.29093,0.86532,0.16591,0.85708,0.0002576,0.0002576,0.0002576
90,4572.13,0.40011,0.85765,0.25649,0.88889,0.99891,1,0.995,0.94388,0.99891,1,0.995,0.86971,0.28903,0.87862,0.16403,0.85648,0.0002378,0.0002378,0.0002378
91,4624.78,0.2936,0.72704,0.2017,0.83077,0.99918,1,0.995,0.94755,0.99918,1,0.995,0.86333,0.29435,0.90748,0.16224,0.85134,0.000218,0.000218,0.000218
92,4676.23,0.28599,0.69421,0.1971,0.82533,0.99916,1,0.995,0.94966,0.99916,1,0.995,0.87431,0.30046,0.88533,0.15777,0.8548,0.0001982,0.0001982,0.0001982
93,4727.85,0.28183,0.67356,0.18742,0.8251,0.99913,1,0.995,0.9481,0.99913,1,0.995,0.86177,0.30216,0.86914,0.16117,0.86287,0.0001784,0.0001784,0.0001784
94,4778.58,0.27542,0.68146,0.187,0.83419,0.99904,1,0.995,0.95095,0.99904,1,0.995,0.86183,0.28325,0.8747,0.15281,0.85544,0.0001586,0.0001586,0.0001586
95,4830.49,0.26463,0.6698,0.18112,0.82945,0.99913,1,0.995,0.95227,0.99913,1,0.995,0.8792,0.28604,0.87156,0.15164,0.85692,0.0001388,0.0001388,0.0001388
96,4881.7,0.26582,0.66302,0.18063,0.83431,0.99914,1,0.995,0.95431,0.99914,1,0.995,0.88642,0.28913,0.86136,0.15738,0.86338,0.000119,0.000119,0.000119
97,4932.74,0.26484,0.6666,0.17668,0.82273,0.99916,1,0.995,0.95217,0.99916,1,0.995,0.87449,0.28767,0.87437,0.15084,0.86262,9.92e-05,9.92e-05,9.92e-05
98,4984.24,0.25658,0.65136,0.17407,0.8198,0.99912,1,0.995,0.94886,0.99912,1,0.995,0.8662,0.28815,0.88867,0.15409,0.86238,7.94e-05,7.94e-05,7.94e-05
99,5035.81,0.2524,0.65825,0.17073,0.8158,0.99912,1,0.995,0.95023,0.99912,1,0.995,0.86324,0.27772,0.9001,0.14813,0.8563,5.96e-05,5.96e-05,5.96e-05
100,5087.57,0.2517,0.65422,0.16978,0.80822,0.99915,1,0.995,0.95076,0.99915,1,0.995,0.86331,0.27321,0.89713,0.14533,0.85393,3.98e-05,3.98e-05,3.98e-05
